,author,mean_rating,num_ratings,num_reviews,title,url
0,Jojo Moyes,4.17,"96,193 ratings","9,442 reviews",Still Me,https://www.goodreads.com/book/show/35791968-still-me?from_choice=true
1,Tayari Jones,3.98,"134,415 ratings","13,895 reviews",An American Marriage,https://www.goodreads.com/book/show/33590210-an-american-marriage?from_choice=true
2,Fredrik Backman,4.35,"45,036 ratings","6,608 reviews",Us Against You,https://www.goodreads.com/book/show/36373463-us-against-you?from_choice=true
3,Liane Moriarty,3.52,"105,514 ratings","12,408 reviews",Nine Perfect Strangers,https://www.goodreads.com/book/show/39280445-nine-perfect-strangers?from_choice=true
4,Hank Green,4.06,"32,049 ratings","6,203 reviews",An Absolutely Remarkable Thing,https://www.goodreads.com/book/show/38186611-an-absolutely-remarkable-thing?from_choice=true
5,Haruki Murakami,3.89,"14,548 ratings","2,009 reviews",Killing Commendatore,https://www.goodreads.com/book/show/38820047-killing-commendatore?from_choice=true
6,Tommy Orange,4.02,"44,190 ratings","6,825 reviews",There There,https://www.goodreads.com/book/show/36692478-there-there?from_choice=true
7,Shobha Rao,3.79,"11,763 ratings","1,881 reviews",Girls Burn Brighter,https://www.goodreads.com/book/show/34275212-girls-burn-brighter?from_choice=true
8,Emily Giffin,3.89,"58,399 ratings","5,271 reviews",All We Ever Wanted,https://www.goodreads.com/book/show/36723031-all-we-ever-wanted?from_choice=true
9,Lisa Genova,4.12,"26,851 ratings","4,397 reviews",Every Note Played,https://www.goodreads.com/book/show/36082326-every-note-played?from_choice=true
10,Meg Wolitzer,3.61,"29,416 ratings","3,554 reviews",The Female Persuasion,https://www.goodreads.com/book/show/35480518-the-female-persuasion?from_choice=true
11,Fatima Farheen Mirza,4.15,"22,999 ratings","3,833 reviews",A Place for Us,https://www.goodreads.com/book/show/36840397-a-place-for-us?from_choice=true
12,Jodi Picoult,3.67,"49,655 ratings","6,857 reviews",A Spark of Light,https://www.goodreads.com/book/show/39072220-a-spark-of-light?from_choice=true
13,Ottessa Moshfegh,3.70,"29,685 ratings","4,204 reviews",My Year of Rest and Relaxation,https://www.goodreads.com/book/show/36203391-my-year-of-rest-and-relaxation?from_choice=true
14,Mira T. Lee,3.93,"10,039 ratings","1,453 reviews",Everything Here Is Beautiful,https://www.goodreads.com/book/show/34262106-everything-here-is-beautiful?from_choice=true
15,Richard Powers,4.21,"13,309 ratings","2,581 reviews",The Overstory,https://www.goodreads.com/book/show/35187203-the-overstory?from_choice=true
16,Curtis Sittenfeld,3.75,"18,923 ratings","2,471 reviews","You Think It, I'll Say It",https://www.goodreads.com/book/show/35952871-you-think-it-i-ll-say-it?from_choice=true
17,Katherine Center,4.07,"23,822 ratings","4,007 reviews",How to Walk Away,https://www.goodreads.com/book/show/36249638-how-to-walk-away?from_choice=true
18,Meghan MacLean Weir,3.95,"17,288 ratings","2,364 reviews",The Book of Essie,https://www.goodreads.com/book/show/36723245-the-book-of-essie?from_choice=true
19,Rachel Kushner,3.51,"19,952 ratings","2,850 reviews",The Mars Room,https://www.goodreads.com/book/show/36373648-the-mars-room?from_choice=true
20,Stephen King,4.03,"94,338 ratings","10,605 reviews",The Outsider,https://www.goodreads.com/book/show/36124936-the-outsider?from_choice=true
21,A.J. Finn,3.94,"241,938 ratings","27,072 reviews",The Woman in the Window,https://www.goodreads.com/book/show/34848682-the-woman-in-the-window?from_choice=true
22,Robert Galbraith,4.27,"67,394 ratings","7,385 reviews",Lethal White,https://www.goodreads.com/book/show/40696964-lethal-white?from_choice=true
23,Greer Hendricks,3.84,"126,917 ratings","14,969 reviews",The Wife Between Us,https://www.goodreads.com/book/show/34189556-the-wife-between-us?from_choice=true
